firstDayFormatted,notes,mins
2017-07-23,NA,120
2017-07-30,NA,300
2017-08-06,NA,60
2017-08-13,NA,300
2017-08-20,NA,480
2017-08-27,NA,300
2017-09-03,NA,270
2017-09-10,NA,240
2017-09-17,NA,270
2017-09-24,NA,450
2017-10-01,NA,300
2017-10-08,NA,400
2017-10-15,NA,465
2017-10-22,NA,120
2017-10-29,NA,330
2017-11-05,NA,540
2017-11-12,NA,460
2017-11-19,NA,300
2017-11-26,NA,120
2017-12-03,NA,690
2017-12-10,NA,400
2017-12-17,NA,520
2017-12-24,CA,0
2017-12-31,CA,0
2018-01-07,returned from CA,290
2018-01-14,Flu,150
2018-01-21,NA,586
2018-01-28,NA,635
2018-02-04,NA,790
2018-02-11,NA,385
2018-02-18,NA,505
2018-02-25,NA,840
2018-03-04,NA,765
2018-03-11,NA,685
2018-03-18,NA,735
2018-03-25,NA,450
2018-04-01,NA,154
2018-04-08,NA,621
2018-04-15,NA,260
2018-04-22,NA,90
2018-04-29,NA,30
2018-05-06,NA,0
2018-05-13,NA,340
2018-05-20,NA,360
2018-05-27,NA,180
2018-06-03,NA,180
2018-06-10,NA,135
2018-06-17,NA,225
2018-06-24,NA,65
2018-07-01,NA,480
2018-07-08,NA,360
2018-07-15,NA,255
2018-07-22,NA,180
2018-07-29,NA,240
2018-08-05,NA,265
2018-08-12,NA,335
2018-08-19,NA,665
2018-08-26,NA,165
2018-09-02,NA,520
2018-09-09,NA,110
2018-09-16,NA,219
2018-09-23,NA,350
2018-09-30,NA,330
2018-10-07,NA,80
2018-10-14,NA,330
2018-10-21,NA,80
2018-10-28,NA,190
2018-11-04,NA,376
2018-11-11,NA,185
2018-11-18,NA,110
2018-11-25,NA,60
2018-12-02,NA,260
2018-12-09,NA,190
2018-12-16,NA,60
2018-12-23,NA,0
2018-12-30,NA,0
2019-01-06,NA,0
2019-01-13,NA,0
2019-01-20,NA,150
2019-01-27,NA,70
2019-02-03,NA,223
2019-02-10,NA,90
2019-02-17,NA,0
2019-02-24,NA,0
2019-03-03,NA,186
2019-03-10,NA,140
2019-03-17,NA,0
2019-03-24,NA,330
2019-04-08,NA,150
2019-04-14,NA,345
2019-04-21,NA,360
2019-05-05,NA,335
2019-05-12,NA,529
2019-05-19,NA,390
2019-05-26,Started coding at work during break time again,460
2019-06-02,NA,435
2019-06-09,NA,510
2019-06-16,NA,360
2019-06-23,Modern Mann map published,210
2019-06-30,NA,247
2019-07-07,NA,225
2019-07-14,NA,236
2019-07-21,NA,0
2019-07-28,NA,135
2019-08-04,NA,120
2019-08-11,NA,112
2019-08-19,NA,30
2019-08-25,NA,160
2019-09-01,NA,90
2019-09-08,NA,45
2019-09-15,NA,210
2019-09-22,NA,0
2019-09-29,NA,0
2019-10-06,NA,270
2019-10-13,NA,0
2019-10-20,NA,0
2019-10-27,NA,0
2019-11-03,NA,221
2019-11-10,NA,0
2019-11-17,NA,0
2019-11-24,NA,155
2019-12-01,NA,165
2019-12-07,NA,470
2019-12-15,NA,443
2019-12-22,NA,80
2019-12-29,NA,15
2020-01-05,NA,90
2020-01-12,NA,345
2020-01-19,NA,123
2020-01-26,NA,519
2020-02-02,NA,686
2020-02-09,NA,421
2020-02-16,NA,600
2020-02-23,NA,262
2020-03-01,NA,125
2020-03-08,NA,166
2020-03-15,NA,917
2020-03-22,NA,451
2020-03-29,NA,331
2020-04-05,NA,538
2020-04-12,NA,586
2020-04-19,NA,255
